Cod_SBS,Cod_Emp,Tipo_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
2013543407,80010,31,08,4,14100000000,000000,0000,0,08414100000000
2013543407,80010,31,01,4,18020000000,000000,0000,0,01418020000000
2013543407,80000,11,01,4,11020602000,000000,0000,0,01411020602000
2013543407,80000,11,08,1,18010202000,000000,0000,0,08118010202000
2013543407,80010,39,98,4,14090000000,000000,0000,0,98414090000000
2013543407,80000,11,08,1,18010201000,000000,0000,0,08118010201000
2013543407,80010,31,08,1,19370201000,000000,0000,0,08119370201000
2013543407,80010,31,01,4,11020602000,000000,0000,0,01411020602000
2013543407,80000,11,08,4,14051100000,000000,0000,0,08414051100000
2012453571,90000,60,97,2,15061300000,000000,0000,0,97215061300000
2012453571,90000,60,98,1,19371301000,000000,0000,0,98119371301000
2012453571,90000,60,91,4,19130100000,000000,0000,0,91419130100000
2012453571,90000,60,98,1,19390502000,000000,0000,0,98119390502000
2012453571,90000,60,91,4,15130200000,000970,0000,0,91415130200000
2012453571,90000,60,98,1,19390501000,000000,0000,0,98119390501000
2012453571,90000,60,91,5,15090000000,000000,0000,0,91515090000000
2012453571,90000,60,98,4,14051200000,000000,0000,0,98414051200000
2009809679,50000,10,81,4,11120200000,000000,0000,0,81411120200000
2009809679,50000,10,88,1,18011201000,000000,0000,0,88118011201000
2009809679,50000,10,82,9,11020100000,000000,0000,0,82911020100000
2009809679,50000,10,81,4,18120000000,000000,0000,0,81418120000000
2009809679,50000,60,88,4,14100000000,000000,0000,0,88414100000000
2009809679,50000,10,88,1,18011202000,000000,0000,0,88118011202000
2009809679,50000,10,88,4,14051100000,000000,0000,0,88414051100000
2009809679,50000,60,81,4,18120000000,000000,0000,0,81418120000000
2009809679,50000,10,87,2,15061200000,000000,0000,0,87215061200000
2009809679,50000,10,88,1,19371201000,000000,0000,0,88119371201000
2009809679,50000,10,88,4,24020102000,000470,0000,0,88424020102000
2009809679,50000,10,88,4,24020102000,001950,0000,0,88424020102000
2009809679,50000,60,81,4,11120602000,000000,0000,0,81411120602000
2009809679,50000,60,88,4,24020102000,000000,0000,0,88424020102000
2009809679,50000,10,81,4,11120602000,000000,0000,0,81411120602000
2009404587,80000,60,98,1,18011301000,000000,0000,0,98118011301000
2009404587,80000,60,98,4,14051100000,000000,0000,0,98414051100000
2009404587,80000,60,91,4,18130000000,000000,0000,0,91418130000000
2009404587,80000,60,98,4,14100000000,000000,0000,0,98414100000000
2009404587,80000,60,98,1,18011302000,000000,0000,0,98118011302000
2009404587,80000,60,91,4,11130602000,000000,0000,0,91411130602000
2010471597,40000,10,98,1,13020000000,016030,0000,0,98113020000000
2010471597,40000,10,98,1,13020000000,007360,0000,0,98113020000000
2010266646,10000,10,98,4,24020102000,001950,0000,0,98424020102000
2010266646,10000,10,91,4,19130100000,000000,0000,0,91419130100000
2010266646,10000,10,91,4,16130602000,019190,0000,0,91416130602000
